================================================================================
Engine Log - Started at 2026-03-08 15:13:53
================================================================================

[15:13:53.845] [INFO ] VoxelEngine initialized from Desktop platform with VoxelGames runtime.
[15:13:53.856] [INFO ] [Game:40] Game.A was called!
[15:13:53.856] [INFO ] [Program:38] Creating engine
[15:13:53.857] [INFO ] [TestRuntimeContext:21] TestRuntimeContext created
[15:13:53.859] [INFO ] [Heartbeat:55] Frame rate limit disabled (unlimited FPS)
[15:13:53.859] [INFO ] [Program:45] Starting engine...
[15:13:53.863] [LINE ] ================================================================================
[15:13:53.863] [INFO ] [Engine:28] Starting engine runtime...
[15:13:53.868] [INFO ] [DesktopWindow:26] Creating window: 'Voxel Engine' (800x600)
[15:13:53.942] [INFO ] [DesktopWindow:40] Desktop window created successfully.
[15:13:53.946] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Graphics.GraphicsContext
[15:13:53.950] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Core.Runtime.ModulesManager
[15:13:54.335] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.IO.FileManager
[15:13:54.336] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Core.AssetsManager
[15:13:54.337] [INFO ] [Engine:84] Post init...
[15:13:54.337] [INFO ] [TestRuntimeContext:32] TestRuntimeContext Initialized
[15:13:54.338] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Core.CamerasRegistries
[15:13:54.340] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Graphics.Rendering.RenderManager
[15:13:54.341] [INFO ] [LauncherLayer:17] LauncherLayer.Initialize was called!
[15:13:54.342] [INFO ] [GameLoader:19] Loading game from C:\Users\Dmitrist10\Desktop\VoxelGames\Source\Project_08_VE\Source\Resources\Games\Game_01\Main\bin\net11.0\Game_01.dll
[15:13:54.345] [INFO ] [Game:19] Game.OnInitialize was called!
[15:13:54.345] [INFO ] [Game:25] Game.StartMatch was called!
[15:13:54.346] [EXTRAINFO] [UniverseManager:13] A new Universe was created
[15:13:54.359] [EXTRAINFO] [Universe.API:13] A new Scene was created
[15:13:54.360] [INFO ] [ClientHost:26] Scene loaded
[15:13:54.432] [DEBUG] [GameSetup:14] GameSetup.SetUp was called!
[15:13:54.588] [INFO ] [GameLayer:17] GameLayer.Initialize was called!
[15:13:54.589] [EXTRAINFO] [Heartbeat:62] Starting Heartbeat
[15:13:54.653] [INFO ] [WorldGenerator:107] Generated chunk at Y: 0
[15:13:54.655] [INFO ] [WorldGenerator:96] AAA
[15:13:54.656] [INFO ] [WorldGenerator:96] AAA
[15:13:54.656] [INFO ] [WorldGenerator:96] AAA
[15:13:54.657] [INFO ] [WorldGenerator:96] AAA
[15:13:54.657] [INFO ] [WorldGenerator:96] AAA
[15:13:54.657] [INFO ] [WorldGenerator:96] AAA
[15:13:54.657] [INFO ] [WorldGenerator:96] AAA
[15:13:54.657] [INFO ] [WorldGenerator:96] AAA
[15:13:54.658] [INFO ] [WorldGenerator:96] AAA
[15:13:54.658] [INFO ] [WorldGenerator:96] AAA
[15:13:54.658] [INFO ] [WorldGenerator:96] AAA
[15:13:54.658] [INFO ] [WorldGenerator:96] AAA
[15:13:54.659] [INFO ] [WorldGenerator:96] AAA
[15:13:54.659] [INFO ] [WorldGenerator:96] AAA
[15:13:54.659] [INFO ] [WorldGenerator:96] AAA
[15:13:54.660] [INFO ] [WorldGenerator:96] AAA
[15:13:54.660] [INFO ] [WorldGenerator:96] AAA
[15:13:54.660] [INFO ] [WorldGenerator:96] AAA
[15:13:54.661] [INFO ] [WorldGenerator:96] AAA
[15:13:54.661] [INFO ] [WorldGenerator:96] AAA
[15:13:54.661] [INFO ] [WorldGenerator:96] AAA
[15:13:54.662] [INFO ] [WorldGenerator:96] AAA
[15:13:54.662] [INFO ] [WorldGenerator:96] AAA
[15:13:54.662] [INFO ] [WorldGenerator:96] AAA
[15:13:54.662] [INFO ] [WorldGenerator:96] AAA
[15:13:54.663] [INFO ] [WorldGenerator:96] AAA
[15:13:54.663] [INFO ] [WorldGenerator:96] AAA
[15:13:54.663] [INFO ] [WorldGenerator:96] AAA
[15:13:54.663] [INFO ] [WorldGenerator:96] AAA
[15:13:54.664] [INFO ] [WorldGenerator:96] AAA
[15:13:54.664] [INFO ] [WorldGenerator:96] AAA
[15:13:54.664] [INFO ] [WorldGenerator:96] AAA
[15:13:54.664] [INFO ] [WorldGenerator:96] AAA
[15:13:54.665] [INFO ] [WorldGenerator:96] AAA
[15:13:54.665] [INFO ] [WorldGenerator:96] AAA
[15:13:54.665] [INFO ] [WorldGenerator:96] AAA
[15:13:54.665] [INFO ] [WorldGenerator:96] AAA
[15:13:54.665] [INFO ] [WorldGenerator:96] AAA
[15:13:54.666] [INFO ] [WorldGenerator:96] AAA
[15:13:54.666] [INFO ] [WorldGenerator:96] AAA
