================================================================================
Engine Log - Started at 2026-03-08 15:03:00
================================================================================

[15:03:00.182] [INFO ] VoxelEngine initialized from Desktop platform with VoxelGames runtime.
[15:03:00.192] [INFO ] [Game:40] Game.A was called!
[15:03:00.192] [INFO ] [Program:38] Creating engine
[15:03:00.193] [INFO ] [TestRuntimeContext:21] TestRuntimeContext created
[15:03:00.194] [INFO ] [Heartbeat:55] Frame rate limit disabled (unlimited FPS)
[15:03:00.195] [INFO ] [Program:45] Starting engine...
[15:03:00.198] [LINE ] ================================================================================
[15:03:00.198] [INFO ] [Engine:28] Starting engine runtime...
[15:03:00.202] [INFO ] [DesktopWindow:26] Creating window: 'Voxel Engine' (800x600)
[15:03:00.281] [INFO ] [DesktopWindow:40] Desktop window created successfully.
[15:03:00.285] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Graphics.GraphicsContext
[15:03:00.289] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Core.Runtime.ModulesManager
[15:03:00.639] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.IO.FileManager
[15:03:00.640] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Core.AssetsManager
[15:03:00.640] [INFO ] [Engine:84] Post init...
[15:03:00.641] [INFO ] [TestRuntimeContext:32] TestRuntimeContext Initialized
[15:03:00.642] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Core.CamerasRegistries
[15:03:00.644] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Graphics.Rendering.RenderManager
[15:03:00.645] [INFO ] [LauncherLayer:17] LauncherLayer.Initialize was called!
[15:03:00.646] [INFO ] [GameLoader:19] Loading game from C:\Users\Dmitrist10\Desktop\VoxelGames\Source\Project_08_VE\Source\Resources\Games\Game_01\Main\bin\net11.0\Game_01.dll
[15:03:00.648] [INFO ] [Game:19] Game.OnInitialize was called!
[15:03:00.648] [INFO ] [Game:25] Game.StartMatch was called!
[15:03:00.649] [EXTRAINFO] [UniverseManager:13] A new Universe was created
[15:03:00.663] [EXTRAINFO] [Universe.API:13] A new Scene was created
[15:03:00.663] [INFO ] [ClientHost:26] Scene loaded
[15:03:00.730] [DEBUG] [GameSetup:14] GameSetup.SetUp was called!
[15:03:00.864] [INFO ] [GameLayer:17] GameLayer.Initialize was called!
[15:03:00.865] [EXTRAINFO] [Heartbeat:62] Starting Heartbeat
[15:03:00.986] [INFO ] [ChunksStreamer:84] added
[15:03:00.987] [INFO ] [ChunksStreamer:84] added
[15:03:00.987] [INFO ] [ChunksStreamer:84] added
[15:03:00.987] [INFO ] [ChunksStreamer:84] added
[15:03:00.987] [INFO ] [ChunksStreamer:84] added
[15:03:00.987] [INFO ] [ChunksStreamer:84] added
[15:03:00.988] [INFO ] [ChunksStreamer:84] added
[15:03:00.988] [INFO ] [ChunksStreamer:84] added
[15:03:00.988] [INFO ] [ChunksStreamer:84] added
[15:03:00.988] [INFO ] [ChunksStreamer:84] added
[15:03:00.988] [INFO ] [ChunksStreamer:84] added
[15:03:00.989] [INFO ] [ChunksStreamer:84] added
[15:03:00.989] [INFO ] [ChunksStreamer:84] added
[15:03:00.989] [INFO ] [ChunksStreamer:84] added
[15:03:00.989] [INFO ] [ChunksStreamer:84] added
[15:03:00.989] [INFO ] [ChunksStreamer:84] added
[15:03:00.989] [INFO ] [ChunksStreamer:84] added
[15:03:00.990] [INFO ] [ChunksStreamer:84] added
[15:03:00.990] [INFO ] [ChunksStreamer:84] added
[15:03:00.990] [INFO ] [ChunksStreamer:84] added
[15:03:00.990] [INFO ] [ChunksStreamer:84] added
[15:03:00.990] [INFO ] [ChunksStreamer:84] added
[15:03:00.991] [INFO ] [ChunksStreamer:84] added
[15:03:00.991] [INFO ] [ChunksStreamer:84] added
[15:03:00.991] [INFO ] [ChunksStreamer:84] added
[15:03:00.991] [INFO ] [ChunksStreamer:84] added
[15:03:00.991] [INFO ] [ChunksStreamer:84] added
[15:03:00.992] [INFO ] [ChunksStreamer:84] added
[15:03:00.992] [INFO ] [ChunksStreamer:84] added
[15:03:00.992] [INFO ] [ChunksStreamer:84] added
[15:03:00.992] [INFO ] [ChunksStreamer:84] added
[15:03:00.992] [INFO ] [ChunksStreamer:84] added
[15:03:00.993] [INFO ] [ChunksStreamer:84] added
[15:03:00.993] [INFO ] [ChunksStreamer:84] added
[15:03:00.993] [INFO ] [ChunksStreamer:84] added
[15:03:00.993] [INFO ] [ChunksStreamer:84] added
[15:03:00.993] [INFO ] [ChunksStreamer:84] added
[15:03:00.993] [INFO ] [ChunksStreamer:84] added
[15:03:00.994] [INFO ] [ChunksStreamer:84] added
[15:03:00.994] [INFO ] [ChunksStreamer:84] added
[15:03:00.994] [INFO ] [ChunksStreamer:84] added
[15:03:00.994] [INFO ] [ChunksStreamer:84] added
[15:03:00.994] [INFO ] [ChunksStreamer:84] added
[15:03:00.995] [INFO ] [ChunksStreamer:84] added
[15:03:00.995] [INFO ] [ChunksStreamer:84] added
[15:03:00.995] [INFO ] [ChunksStreamer:84] added
[15:03:00.995] [INFO ] [ChunksStreamer:84] added
[15:03:00.995] [INFO ] [ChunksStreamer:84] added
[15:03:00.995] [INFO ] [ChunksStreamer:84] added
[15:03:00.996] [INFO ] [ChunksStreamer:84] added
[15:03:00.996] [INFO ] [ChunksStreamer:84] added
[15:03:00.996] [INFO ] [ChunksStreamer:84] added
[15:03:00.996] [INFO ] [ChunksStreamer:84] added
[15:03:00.996] [INFO ] [ChunksStreamer:84] added
[15:03:00.996] [INFO ] [ChunksStreamer:84] added
[15:03:00.997] [INFO ] [ChunksStreamer:84] added
[15:03:00.997] [INFO ] [ChunksStreamer:84] added
[15:03:00.997] [INFO ] [ChunksStreamer:84] added
[15:03:00.997] [INFO ] [ChunksStreamer:84] added
[15:03:00.997] [INFO ] [ChunksStreamer:84] added
[15:03:00.997] [INFO ] [ChunksStreamer:84] added
[15:03:00.998] [INFO ] [ChunksStreamer:84] added
[15:03:00.998] [INFO ] [ChunksStreamer:84] added
[15:03:00.998] [INFO ] [ChunksStreamer:84] added
[15:03:00.998] [INFO ] [ChunksStreamer:84] added
[15:03:00.998] [INFO ] [ChunksStreamer:84] added
[15:03:00.999] [INFO ] [ChunksStreamer:84] added
[15:03:00.999] [INFO ] [ChunksStreamer:84] added
[15:03:00.999] [INFO ] [ChunksStreamer:84] added
[15:03:00.999] [INFO ] [ChunksStreamer:84] added
[15:03:00.999] [INFO ] [ChunksStreamer:84] added
[15:03:00.999] [INFO ] [ChunksStreamer:84] added
[15:03:01.000] [INFO ] [ChunksStreamer:84] added
[15:03:01.000] [INFO ] [ChunksStreamer:84] added
[15:03:01.000] [INFO ] [ChunksStreamer:84] added
[15:03:01.000] [INFO ] [ChunksStreamer:84] added
[15:03:01.000] [INFO ] [ChunksStreamer:84] added
[15:03:01.000] [INFO ] [ChunksStreamer:84] added
[15:03:01.001] [INFO ] [ChunksStreamer:84] added
[15:03:01.001] [INFO ] [ChunksStreamer:84] added
[15:03:01.001] [INFO ] [ChunksStreamer:84] added
[15:03:01.001] [INFO ] [ChunksStreamer:84] added
[15:03:01.001] [INFO ] [ChunksStreamer:84] added
[15:03:01.002] [INFO ] [ChunksStreamer:84] added
[15:03:01.002] [INFO ] [ChunksStreamer:84] added
[15:03:01.002] [INFO ] [ChunksStreamer:84] added
[15:03:01.002] [INFO ] [ChunksStreamer:84] added
[15:03:01.002] [INFO ] [ChunksStreamer:84] added
[15:03:01.002] [INFO ] [ChunksStreamer:84] added
[15:03:01.003] [INFO ] [ChunksStreamer:84] added
[15:03:01.003] [INFO ] [ChunksStreamer:84] added
[15:03:01.003] [INFO ] [ChunksStreamer:84] added
[15:03:01.003] [INFO ] [ChunksStreamer:84] added
[15:03:01.003] [INFO ] [ChunksStreamer:84] added
[15:03:01.004] [INFO ] [ChunksStreamer:84] added
[15:03:01.004] [INFO ] [ChunksStreamer:84] added
[15:03:01.004] [INFO ] [ChunksStreamer:84] added
[15:03:01.004] [INFO ] [ChunksStreamer:84] added
[15:03:01.004] [INFO ] [ChunksStreamer:84] added
[15:03:01.004] [INFO ] [ChunksStreamer:84] added
[15:03:01.005] [INFO ] [ChunksStreamer:84] added
[15:03:01.005] [INFO ] [ChunksStreamer:84] added
[15:03:01.005] [INFO ] [ChunksStreamer:84] added
[15:03:01.005] [INFO ] [ChunksStreamer:84] added
[15:03:01.005] [INFO ] [ChunksStreamer:84] added
[15:03:01.005] [INFO ] [ChunksStreamer:84] added
[15:03:01.006] [INFO ] [ChunksStreamer:84] added
[15:03:01.006] [INFO ] [ChunksStreamer:84] added
[15:03:01.006] [INFO ] [ChunksStreamer:84] added
[15:03:01.006] [INFO ] [ChunksStreamer:84] added
[15:03:01.006] [INFO ] [ChunksStreamer:84] added
[15:03:01.006] [INFO ] [ChunksStreamer:84] added
[15:03:01.007] [INFO ] [ChunksStreamer:84] added
[15:03:01.007] [INFO ] [ChunksStreamer:84] added
[15:03:01.007] [INFO ] [ChunksStreamer:84] added
[15:03:01.007] [INFO ] [ChunksStreamer:84] added
[15:03:01.007] [INFO ] [ChunksStreamer:84] added
[15:03:01.008] [INFO ] [ChunksStreamer:84] added
[15:03:01.008] [INFO ] [ChunksStreamer:84] added
[15:03:01.008] [INFO ] [ChunksStreamer:84] added
[15:03:01.008] [INFO ] [ChunksStreamer:84] added
[15:03:01.008] [INFO ] [ChunksStreamer:84] added
[15:03:01.008] [INFO ] [ChunksStreamer:84] added
[15:03:01.009] [INFO ] [ChunksStorage:30] BBB
[15:03:01.010] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -96, Y = 0, Z = 0 }
[15:03:01.012] [INFO ] [ChunksStorage:30] BBB
[15:03:01.012] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = -64, Z = -32 }
[15:03:01.013] [INFO ] [ChunksStorage:30] BBB
[15:03:01.013] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = -64, Z = 0 }
[15:03:01.013] [INFO ] [ChunksStorage:30] BBB
[15:03:01.013] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = -64, Z = 32 }
[15:03:01.014] [INFO ] [ChunksStorage:30] BBB
[15:03:01.014] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = -32, Z = -64 }
[15:03:01.015] [INFO ] [ChunksStorage:30] BBB
[15:03:01.015] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = -32, Z = -32 }
[15:03:01.016] [INFO ] [ChunksStorage:30] BBB
[15:03:01.016] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = -32, Z = 0 }
[15:03:01.016] [INFO ] [ChunksStorage:30] BBB
[15:03:01.016] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = -32, Z = 32 }
[15:03:01.017] [INFO ] [ChunksStorage:30] BBB
[15:03:01.017] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = -32, Z = 64 }
[15:03:01.017] [INFO ] [ChunksStorage:30] BBB
[15:03:01.017] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = 0, Z = -64 }
[15:03:01.018] [INFO ] [ChunksStorage:30] BBB
[15:03:01.018] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = 0, Z = -32 }
[15:03:01.018] [INFO ] [ChunksStorage:30] BBB
[15:03:01.018] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = 0, Z = 0 }
[15:03:01.018] [INFO ] [ChunksStorage:30] BBB
[15:03:01.019] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = 0, Z = 32 }
[15:03:01.019] [INFO ] [ChunksStorage:30] BBB
[15:03:01.019] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = 0, Z = 64 }
[15:03:01.019] [INFO ] [ChunksStorage:30] BBB
[15:03:01.019] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = 32, Z = -64 }
[15:03:01.020] [INFO ] [ChunksStorage:30] BBB
[15:03:01.020] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = 32, Z = -32 }
[15:03:01.020] [INFO ] [ChunksStorage:30] BBB
[15:03:01.021] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = 32, Z = 0 }
[15:03:01.021] [INFO ] [ChunksStorage:30] BBB
[15:03:01.021] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = 32, Z = 32 }
[15:03:01.022] [INFO ] [ChunksStorage:30] BBB
[15:03:01.022] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = 32, Z = 64 }
[15:03:01.022] [INFO ] [ChunksStorage:30] BBB
[15:03:01.022] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = 64, Z = -32 }
[15:03:01.022] [INFO ] [ChunksStorage:30] BBB
[15:03:01.023] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = 64, Z = 0 }
[15:03:01.023] [INFO ] [ChunksStorage:30] BBB
[15:03:01.023] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -64, Y = 64, Z = 32 }
[15:03:01.023] [INFO ] [ChunksStorage:30] BBB
[15:03:01.023] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = -64, Z = -64 }
[15:03:01.024] [INFO ] [ChunksStorage:30] BBB
[15:03:01.024] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = -64, Z = -32 }
[15:03:01.025] [INFO ] [ChunksStorage:30] BBB
[15:03:01.025] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = -64, Z = 0 }
[15:03:01.025] [INFO ] [ChunksStorage:30] BBB
[15:03:01.025] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = -64, Z = 32 }
[15:03:01.026] [INFO ] [ChunksStorage:30] BBB
[15:03:01.026] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = -64, Z = 64 }
[15:03:01.027] [INFO ] [ChunksStorage:30] BBB
[15:03:01.027] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = -32, Z = -64 }
[15:03:01.027] [INFO ] [ChunksStorage:30] BBB
[15:03:01.027] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = -32, Z = -32 }
[15:03:01.028] [INFO ] [ChunksStorage:30] BBB
[15:03:01.028] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = -32, Z = 0 }
[15:03:01.028] [INFO ] [ChunksStorage:30] BBB
[15:03:01.029] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = -32, Z = 32 }
[15:03:01.029] [INFO ] [ChunksStorage:30] BBB
[15:03:01.029] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = -32, Z = 64 }
[15:03:01.030] [INFO ] [ChunksStorage:30] BBB
[15:03:01.030] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 0, Z = -64 }
[15:03:01.030] [INFO ] [ChunksStorage:30] BBB
[15:03:01.030] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 0, Z = -32 }
[15:03:01.030] [INFO ] [ChunksStorage:30] BBB
[15:03:01.031] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 0, Z = 0 }
[15:03:01.031] [INFO ] [ChunksStorage:30] BBB
[15:03:01.031] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 0, Z = 32 }
[15:03:01.031] [INFO ] [ChunksStorage:30] BBB
[15:03:01.031] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 0, Z = 64 }
[15:03:01.032] [INFO ] [ChunksStorage:30] BBB
[15:03:01.032] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 32, Z = -64 }
[15:03:01.032] [INFO ] [ChunksStorage:30] BBB
[15:03:01.033] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 32, Z = -32 }
[15:03:01.033] [INFO ] [ChunksStorage:30] BBB
[15:03:01.033] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 32, Z = 0 }
[15:03:01.034] [INFO ] [ChunksStorage:30] BBB
[15:03:01.034] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 32, Z = 32 }
[15:03:01.034] [INFO ] [ChunksStorage:30] BBB
[15:03:01.034] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 32, Z = 64 }
[15:03:01.035] [INFO ] [ChunksStorage:30] BBB
[15:03:01.035] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 64, Z = -64 }
[15:03:01.035] [INFO ] [ChunksStorage:30] BBB
[15:03:01.035] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 64, Z = -32 }
[15:03:01.036] [INFO ] [ChunksStorage:30] BBB
[15:03:01.036] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 64, Z = 0 }
[15:03:01.036] [INFO ] [ChunksStorage:30] BBB
[15:03:01.036] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 64, Z = 32 }
[15:03:01.036] [INFO ] [ChunksStorage:30] BBB
[15:03:01.037] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = -32, Y = 64, Z = 64 }
[15:03:01.037] [INFO ] [ChunksStorage:30] BBB
[15:03:01.038] [INFO ] [WorldGenerator:88] Chunk Pos:Int3 { X = 0, Y = -96, Z = 0 }
