================================================================================
Engine Log - Started at 2026-03-03 21:24:53
================================================================================

[21:24:53.879] [INFO ] VoxelEngine initialized from Desktop platform with VoxelGames runtime.
[21:24:53.891] [INFO ] [Program:37] Creating engine
[21:24:53.892] [INFO ] [TestRuntimeContext:16] TestRuntimeContext created
[21:24:53.893] [INFO ] [Heartbeat:55] Frame rate limit disabled (unlimited FPS)
[21:24:53.893] [INFO ] [Program:44] Starting engine...
[21:24:53.893] [LINE ] ================================================================================
[21:24:53.897] [INFO ] [Engine:26] Starting engine runtime...
[21:24:53.940] [INFO ] [DesktopWindow:26] Creating window: 'Voxel Engine' (800x600)
[21:24:54.020] [INFO ] [DesktopWindow:40] Desktop window created successfully.
[21:24:54.024] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Graphics.GraphicsContext
[21:24:54.311] [INFO ] [Engine:53] Post init...
[21:24:54.311] [INFO ] [TestRuntimeContext:24] TestRuntimeContext Initialized
[21:24:54.313] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Core.CamerasRegistries
[21:24:54.315] [EXTRAINFO] [Heartbeat:62] Starting Heartbeat
[21:24:54.326] [INFO ] [GL_GraphicsCommandsList:65] ClearColor
[21:24:54.327] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.327] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.327] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.327] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.328] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.328] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.328] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.328] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.329] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.329] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.329] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.329] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.330] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.330] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.330] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.330] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.337] [INFO ] [GL_GraphicsCommandsList:65] ClearColor
[21:24:54.338] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.338] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.338] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.338] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.339] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.339] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.339] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.339] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.340] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.340] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.341] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.341] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.341] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.341] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.341] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.342] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.344] [INFO ] [GL_GraphicsCommandsList:65] ClearColor
[21:24:54.345] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.345] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.346] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.348] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.348] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.348] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.348] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.349] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.349] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.349] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.350] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.350] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.350] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.351] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.351] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.351] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.354] [INFO ] [GL_GraphicsCommandsList:65] ClearColor
[21:24:54.354] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.355] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.355] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.355] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.356] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.356] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.356] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.356] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.357] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.357] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.357] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.357] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.357] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.358] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.358] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.358] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.468] [INFO ] [GL_GraphicsCommandsList:65] ClearColor
[21:24:54.468] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.468] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.468] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.468] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.469] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.469] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.469] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.469] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.470] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.470] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.470] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.470] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.470] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.471] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.471] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.471] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.472] [INFO ] [GL_GraphicsCommandsList:65] ClearColor
[21:24:54.473] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.473] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.473] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.473] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.473] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.474] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.474] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.474] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.474] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.474] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.475] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.475] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.475] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.475] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.475] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.475] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.478] [INFO ] [GL_GraphicsCommandsList:65] ClearColor
[21:24:54.479] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.479] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.479] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.479] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.479] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.480] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.480] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.480] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.480] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.480] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.481] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.481] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.481] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.481] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.481] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.481] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.484] [INFO ] [GL_GraphicsCommandsList:65] ClearColor
[21:24:54.484] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.484] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.484] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.485] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.485] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.485] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.485] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.486] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.486] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.486] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.487] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.487] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.487] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.487] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.487] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.488] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.490] [INFO ] [GL_GraphicsCommandsList:65] ClearColor
[21:24:54.490] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.490] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.491] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.491] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.491] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.491] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.491] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.492] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.492] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.492] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.492] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.492] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.493] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.493] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.493] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.493] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.495] [INFO ] [GL_GraphicsCommandsList:65] ClearColor
[21:24:54.495] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.495] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.496] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.496] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.496] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.496] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.496] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.497] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.497] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.497] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.497] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.497] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.498] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.498] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.498] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.498] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.500] [INFO ] [GL_GraphicsCommandsList:65] ClearColor
[21:24:54.501] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.501] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.501] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.502] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.502] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.502] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.502] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.502] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.503] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.503] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.503] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.503] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.504] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.504] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.504] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.504] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.506] [INFO ] [GL_GraphicsCommandsList:65] ClearColor
[21:24:54.506] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.507] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.507] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.507] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.507] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.508] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.508] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.508] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.508] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.508] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.508] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.509] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.509] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.509] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.509] [INFO ] [GL_GraphicsCommandsList:65] 128
[21:24:54.509] [INFO ] [GL_GraphicsCommandsList:65] 63
[21:24:54.512] [INFO ] [GL_GraphicsCommandsList:65] ClearColor
[21:24:54.512] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.512] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.512] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.513] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.513] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.513] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.513] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.513] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.513] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
[21:24:54.514] [INFO ] [GL_GraphicsCommandsList:65] BindPipeline
