================================================================================
Engine Log - Started at 2026-03-03 21:24:43
================================================================================

[21:24:43.546] [INFO ] VoxelEngine initialized from Desktop platform with VoxelGames runtime.
[21:24:43.557] [INFO ] [Program:37] Creating engine
[21:24:43.558] [INFO ] [TestRuntimeContext:16] TestRuntimeContext created
[21:24:43.560] [INFO ] [Heartbeat:55] Frame rate limit disabled (unlimited FPS)
[21:24:43.560] [INFO ] [Program:44] Starting engine...
[21:24:43.560] [LINE ] ================================================================================
[21:24:43.561] [INFO ] [Engine:26] Starting engine runtime...
[21:24:43.608] [INFO ] [DesktopWindow:26] Creating window: 'Voxel Engine' (800x600)
[21:24:43.688] [INFO ] [DesktopWindow:40] Desktop window created successfully.
[21:24:43.692] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Graphics.GraphicsContext
[21:24:43.983] [INFO ] [Engine:53] Post init...
[21:24:43.984] [INFO ] [TestRuntimeContext:24] TestRuntimeContext Initialized
[21:24:43.986] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Core.CamerasRegistries
[21:24:43.988] [EXTRAINFO] [Heartbeat:62] Starting Heartbeat
[21:24:43.999] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.000] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.000] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.003] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.004] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.004] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.004] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.005] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.005] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.006] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.006] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.008] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.009] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.009] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.009] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.009] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.009] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.017] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.018] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.018] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.018] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.020] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.020] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.021] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.021] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.021] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.022] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.022] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.022] [INFO ] [GL_GraphicsCommandsList:63] AAA
[21:24:44.023] [INFO ] [GL_GraphicsCommandsList:63] AAA
