================================================================================
Engine Log - Started at 2026-03-03 21:21:34
================================================================================

[21:21:34.300] [INFO ] VoxelEngine initialized from Desktop platform with VoxelGames runtime.
[21:21:34.311] [INFO ] [Program:37] Creating engine
[21:21:34.353] [INFO ] [TestRuntimeContext:16] TestRuntimeContext created
[21:21:34.354] [INFO ] [Heartbeat:55] Frame rate limit disabled (unlimited FPS)
[21:21:34.354] [INFO ] [Program:44] Starting engine...
[21:21:34.355] [LINE ] ================================================================================
[21:21:34.355] [INFO ] [Engine:26] Starting engine runtime...
[21:21:34.359] [INFO ] [DesktopWindow:26] Creating window: 'Voxel Engine' (800x600)
[21:21:34.435] [INFO ] [DesktopWindow:40] Desktop window created successfully.
[21:21:34.439] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Graphics.GraphicsContext
[21:21:34.744] [INFO ] [Engine:53] Post init...
[21:21:34.745] [INFO ] [TestRuntimeContext:24] TestRuntimeContext Initialized
[21:21:34.746] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Core.CamerasRegistries
[21:21:34.748] [EXTRAINFO] [Heartbeat:62] Starting Heartbeat
[21:21:34.757] [INFO ] [RP_ClearColor:15] False
[21:21:34.764] [INFO ] [RP_ClearColor:15] False
[21:21:34.768] [INFO ] [RP_ClearColor:15] False
[21:21:34.770] [INFO ] [RP_ClearColor:15] False
[21:21:34.771] [INFO ] [RP_ClearColor:15] False
[21:21:34.772] [INFO ] [RP_ClearColor:15] False
[21:21:34.773] [INFO ] [RP_ClearColor:15] False
[21:21:34.774] [INFO ] [RP_ClearColor:15] False
[21:21:34.774] [INFO ] [RP_ClearColor:15] False
[21:21:34.775] [INFO ] [RP_ClearColor:15] False
[21:21:34.776] [INFO ] [RP_ClearColor:15] False
[21:21:34.777] [INFO ] [RP_ClearColor:15] False
[21:21:34.777] [INFO ] [RP_ClearColor:15] False
[21:21:34.778] [INFO ] [RP_ClearColor:15] False
[21:21:34.778] [INFO ] [RP_ClearColor:15] False
[21:21:34.780] [INFO ] [RP_ClearColor:15] False
[21:21:34.782] [INFO ] [RP_ClearColor:15] False
[21:21:34.783] [INFO ] [RP_ClearColor:15] False
[21:21:34.784] [INFO ] [RP_ClearColor:15] False
[21:21:34.787] [INFO ] [RP_ClearColor:15] False
