================================================================================
Engine Log - Started at 2026-03-03 21:24:33
================================================================================

[21:24:33.695] [INFO ] VoxelEngine initialized from Desktop platform with VoxelGames runtime.
[21:24:33.706] [INFO ] [Program:37] Creating engine
[21:24:33.707] [INFO ] [TestRuntimeContext:16] TestRuntimeContext created
[21:24:33.708] [INFO ] [Heartbeat:55] Frame rate limit disabled (unlimited FPS)
[21:24:33.708] [INFO ] [Program:44] Starting engine...
[21:24:33.708] [LINE ] ================================================================================
[21:24:33.709] [INFO ] [Engine:26] Starting engine runtime...
[21:24:33.757] [INFO ] [DesktopWindow:26] Creating window: 'Voxel Engine' (800x600)
[21:24:33.845] [INFO ] [DesktopWindow:40] Desktop window created successfully.
[21:24:33.851] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Graphics.GraphicsContext
[21:24:34.171] [INFO ] [Engine:53] Post init...
[21:24:34.171] [INFO ] [TestRuntimeContext:24] TestRuntimeContext Initialized
[21:24:34.173] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Core.CamerasRegistries
[21:24:34.175] [EXTRAINFO] [Heartbeat:62] Starting Heartbeat
[21:24:34.186] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.190] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.192] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.294] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.303] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.309] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.314] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.319] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.325] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.331] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.336] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.342] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.347] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.353] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.358] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.364] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.370] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.376] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.382] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.388] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.395] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.401] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.407] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.413] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.419] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.425] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.431] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.437] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.443] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.449] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.455] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.461] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.467] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.473] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.479] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.485] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.491] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.498] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.504] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.510] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.516] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.522] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.528] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.534] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.540] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.546] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.552] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.558] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.564] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.570] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.576] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.583] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.588] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.595] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.601] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.607] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.613] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.619] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.625] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.631] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.637] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.643] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.649] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.655] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.661] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.667] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.673] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.679] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.686] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.692] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.698] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.704] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.710] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.716] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.722] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.728] [INFO ] [GL_GraphicsCommandsList:57] AAA
[21:24:34.734] [INFO ] [GL_GraphicsCommandsList:57] AAA
